service_date,route_id,direction_id,half_trip_id,stop_id,time_point_id,time_point_order,point_type,standard_type,scheduled,actual,scheduled_headway,headway,fromFile,day,stop_name,delay_mins
2021-11-04,64,Inbound,53490988,1059,cntsq,4,Midpoint,Schedule,1900-01-01T10:46:00Z,1900-01-01T10:43:22Z,,,bus/MBTA-Bus-Arrival-Departure-Times_2021-11.csv,4,River St @ Green St,-2.63
2021-11-04,64,Inbound,53490988,2231,kndl,5,Endpoint,Schedule,1900-01-01T10:57:00Z,1900-01-01T10:53:30Z,,,bus/MBTA-Bus-Arrival-Departure-Times_2021-11.csv,4,Main St @ Kendall Station - Red Line,-3.5
2021-11-04,64,Inbound,53491547,1214,oaksq,1,Startpoint,Schedule,1900-01-01T11:07:00Z,1900-01-01T11:06:43Z,,,bus/MBTA-Bus-Arrival-Departure-Times_2021-11.csv,4,Faneuil St @ Oak Square,-0.28
2021-11-04,64,Inbound,53491547,1110,union,2,Midpoint,Schedule,1900-01-01T11:18:00Z,1900-01-01T11:17:39Z,,,bus/MBTA-Bus-Arrival-Departure-Times_2021-11.csv,4,N Beacon St @ Cambridge St,-0.35
2021-11-04,64,Inbound,53491547,1116,alrmp,3,Midpoint,Schedule,1900-01-01T11:25:00Z,1900-01-01T11:23:08Z,,,bus/MBTA-Bus-Arrival-Departure-Times_2021-11.csv,4,Cambridge St @ Mass Pike Exit,-1.87
2021-11-04,64,Inbound,53491547,1059,cntsq,4,Midpoint,Schedule,1900-01-01T11:33:00Z,1900-01-01T11:27:14Z,,,bus/MBTA-Bus-Arrival-Departure-Times_2021-11.csv,4,River St @ Green St,-5.77
2021-11-04,64,Inbound,53491547,2231,kndl,5,Endpoint,Schedule,1900-01-01T11:44:00Z,1900-01-01T11:36:45Z,,,bus/MBTA-Bus-Arrival-Departure-Times_2021-11.csv,4,Main St @ Kendall Station - Red Line,-7.25
2021-11-04,64,Inbound,53490990,1214,oaksq,1,Startpoint,Schedule,1900-01-01T11:52:00Z,1900-01-01T11:52:17Z,,,bus/MBTA-Bus-Arrival-Departure-Times_2021-11.csv,4,Faneuil St @ Oak Square,0.28
2021-11-04,64,Inbound,53490990,1110,union,2,Midpoint,Schedule,1900-01-01T12:03:00Z,1900-01-01T12:04:19Z,,,bus/MBTA-Bus-Arrival-Departure-Times_2021-11.csv,4,N Beacon St @ Cambridge St,1.32
2021-11-04,64,Inbound,53490990,1116,alrmp,3,Midpoint,Schedule,1900-01-01T12:10:00Z,1900-01-01T12:11:54Z,,,bus/MBTA-Bus-Arrival-Departure-Times_2021-11.csv,4,Cambridge St @ Mass Pike Exit,1.9
